Años,Admin_Publica,Empresas,IPSFL,Resto_Mundo,Total
2000.0,2479598.0,2843887.0,116537.0,278966.0,5718988.0
2001.0,2759591.0,2937738.0,51879.0,477951.0,6227157.0
2002.0,3137798.0,3514968.0,49690.0,491084.0,7193538.0
2003.0,3733556.0,3971421.0,37281.0,470778.0,8213036.0
2004.0,4038656.0,4297624.0,58528.0,550954.0,8945761.0
2005.0,4803811.0,4720095.0,87228.0,585738.0,10196871.0
2006.0,5486123.0,5561629.0,66041.0,701425.0,11815218.0
2007.0,6269142.0,6065035.0,72678.0,935517.0,13342371.0
2008.0,7173324.0,6608550.0,81416.0,838103.0,14701393.0
2009.0,7371889.0,6322578.0,91244.0,795966.0,14581676.0
2010.0,7380266.0,6271629.0,99922.0,836639.0,14588455.0
2011.0,6873285.0,6285324.0,78200.0,947485.0,14184295.0
2012.0,6303265.0,6112318.0,85838.0,890185.0,13391607.0
2013.0,5946854.0,6025088.0,81970.0,957887.0,13011798.0
2014.0,5834286.0,5949817.0,86498.0,950156.0,12820756.0
2015.0,5959251.0,6038519.0,114945.0,1059092.0,13171807.0
2016.0,5875789.0,6192887.0,118014.0,1073079.0,13259769.0
2017.0,6078617.0,6720362.0,110380.0,1154085.0,14063444.0
2018.0,6270738.0,7397346.0,97692.0,1179917.0,14945692.0
2019.0,6552061.0,7645150.0,103403.0,1271437.0,15572052.0
2020.0,6678586.0,7755316.0,118596.0,1215634.0,15768133.0
2021.0,7146839.0,8668350.0,149605.0,1284455.0,17249249.0
2022.0,8005609.0,9535429.0,147077.0,1636640.0,19324755.0
2023.0,9475940.0,10738158.0,145983.0,2019073.0,22379154.0
2024.0,10236725.0,11421103.0,161678.0,2111374.0,23930881.0
