Sectores/unidad,Años,Total
Total (miles de euros),2000.0,5.718.988
Total (miles de euros),2001.0,6.227.157
Total (miles de euros),2002.0,7.193.538
Total (miles de euros),2003.0,8.213.036
Total (miles de euros),2004.0,8.945.761
Total (miles de euros),2005.0,10.196.871
Total (miles de euros),2006.0,11.815.218
Total (miles de euros),2007.0,13.342.371
Total (miles de euros),2008.0,14.701.393
Total (miles de euros),2009.0,14.581.676
Total (miles de euros),2010.0,14.588.455
Total (miles de euros),2011.0,14.184.295
Total (miles de euros),2012.0,13.391.607
Total (miles de euros),2013.0,13.011.798
Total (miles de euros),2014.0,12.820.756
Total (miles de euros),2015.0,13.171.807
Total (miles de euros),2016.0,13.259.769
Total (miles de euros),2017.0,14.063.444
Total (miles de euros),2018.0,14.945.692
Total (miles de euros),2019.0,15.572.052
Total (miles de euros),2020.0,15.768.133
Total (miles de euros),2021.0,17.249.249
Administración Pública: Total (miles de euros),2000.0,2.479.598
Administración Pública: Total (miles de euros),2001.0,2.759.591
Administración Pública: Total (miles de euros),2002.0,3.137.798
Administración Pública: Total (miles de euros),2003.0,3.733.556
Administración Pública: Total (miles de euros),2004.0,4.038.656
Administración Pública: Total (miles de euros),2005.0,4.803.811
Administración Pública: Total (miles de euros),2006.0,5.486.123
Administración Pública: Total (miles de euros),2007.0,6.269.142
Administración Pública: Total (miles de euros),2008.0,7.173.324
Administración Pública: Total (miles de euros),2009.0,7.371.889
Administración Pública: Total (miles de euros),2010.0,7.380.266
Administración Pública: Total (miles de euros),2011.0,6.873.285
Administración Pública: Total (miles de euros),2012.0,6.303.265
Administración Pública: Total (miles de euros),2013.0,5.946.854
Administración Pública: Total (miles de euros),2014.0,5.834.286
Administración Pública: Total (miles de euros),2015.0,5.959.251
Administración Pública: Total (miles de euros),2016.0,5.875.789
Administración Pública: Total (miles de euros),2017.0,6.078.617
Administración Pública: Total (miles de euros),2018.0,6.270.738
Administración Pública: Total (miles de euros),2019.0,6.552.061
Administración Pública: Total (miles de euros),2020.0,6.678.586
Administración Pública: Total (miles de euros),2021.0,7.146.839
Administración Pública: %,2000.0,"43,4"
Administración Pública: %,2001.0,"44,3"
Administración Pública: %,2002.0,"43,6"
Administración Pública: %,2003.0,"45,5"
Administración Pública: %,2004.0,"45,1"
Administración Pública: %,2005.0,"47,1"
Administración Pública: %,2006.0,"46,4"
Administración Pública: %,2007.0,47
Administración Pública: %,2008.0,"48,8"
Administración Pública: %,2009.0,"50,6"
Administración Pública: %,2010.0,"50,6"
Administración Pública: %,2011.0,"48,5"
Administración Pública: %,2012.0,"47,1"
Administración Pública: %,2013.0,"45,7"
Administración Pública: %,2014.0,"45,5"
Administración Pública: %,2015.0,"45,2"
Administración Pública: %,2016.0,"44,3"
Administración Pública: %,2017.0,"43,2"
Administración Pública: %,2018.0,42
Administración Pública: %,2019.0,"42,1"
Administración Pública: %,2020.0,"42,4"
Administración Pública: %,2021.0,"41,4"
Empresas: Total (miles de euros),2000.0,2.843.887
Empresas: Total (miles de euros),2001.0,2.937.738
Empresas: Total (miles de euros),2002.0,3.514.968
Empresas: Total (miles de euros),2003.0,3.971.421
Empresas: Total (miles de euros),2004.0,4.297.624
Empresas: Total (miles de euros),2005.0,4.720.095
Empresas: Total (miles de euros),2006.0,5.561.629
Empresas: Total (miles de euros),2007.0,6.065.035
Empresas: Total (miles de euros),2008.0,6.608.550
Empresas: Total (miles de euros),2009.0,6.322.578
Empresas: Total (miles de euros),2010.0,6.271.629
Empresas: Total (miles de euros),2011.0,6.285.324
Empresas: Total (miles de euros),2012.0,6.112.318
Empresas: Total (miles de euros),2013.0,6.025.088
Empresas: Total (miles de euros),2014.0,5.949.817
Empresas: Total (miles de euros),2015.0,6.038.519
Empresas: Total (miles de euros),2016.0,6.192.887
Empresas: Total (miles de euros),2017.0,6.720.362
Empresas: Total (miles de euros),2018.0,7.397.346
Empresas: Total (miles de euros),2019.0,7.645.150
Empresas: Total (miles de euros),2020.0,7.755.316
Empresas: Total (miles de euros),2021.0,8.668.350
Empresas: %,2000.0,"49,7"
Empresas: %,2001.0,"47,2"
Empresas: %,2002.0,"48,9"
Empresas: %,2003.0,"48,4"
Empresas: %,2004.0,48
Empresas: %,2005.0,"46,3"
Empresas: %,2006.0,"47,1"
Empresas: %,2007.0,"45,5"
Empresas: %,2008.0,"45,5"
Empresas: %,2009.0,"43,4"
Empresas: %,2010.0,43
