Sectores/unidad,Años,Total
Total (miles de euros),2000.0,"5.718.988,3"
Total (miles de euros),2001.0,"6.227.157,1"
Total (miles de euros),2002.0,7.193.538
Total (miles de euros),2003.0,"8.213.035,6"
Total (miles de euros),2004.0,"8.945.760,7"
Total (miles de euros),2005.0,10.196.871
Total (miles de euros),2006.0,"11.815.217,9"
Total (miles de euros),2007.0,"13.342.370,6"
Total (miles de euros),2008.0,"14.701.392,9"
Total (miles de euros),2009.0,"14.581.675,7"
Total (miles de euros),2010.0,"14.588.455,3"
Total (miles de euros),2011.0,"14.184.294,6"
Total (miles de euros),2012.0,"13.391.606,8"
Total (miles de euros),2013.0,13.011.798
Total (miles de euros),2014.0,"12.820.756,4"
Total (miles de euros),2015.0,"13.171.807,2"
Total (miles de euros),2016.0,"13.259.768,7"
Total (miles de euros),2017.0,"14.063.444,1"
Total (miles de euros),2018.0,"14.945.692,4"
Total (miles de euros),2019.0,"15.572.051,8"
Total (miles de euros),2020.0,"15.768.133,2"
Total (miles de euros),2021.0,"17.249.248,6"
Administración Pública: Total (miles de euros),2000.0,"904.776,1"
Administración Pública: Total (miles de euros),2001.0,"989.011,1"
Administración Pública: Total (miles de euros),2002.0,1.107.815
Administración Pública: Total (miles de euros),2003.0,"1.261.762,8"
Administración Pública: Total (miles de euros),2004.0,"1.427.503,6"
Administración Pública: Total (miles de euros),2005.0,"1.738.052,9"
Administración Pública: Total (miles de euros),2006.0,"1.970.823,5"
Administración Pública: Total (miles de euros),2007.0,"2.348.843,4"
Administración Pública: Total (miles de euros),2008.0,"2.672.288,1"
Administración Pública: Total (miles de euros),2009.0,"2.926.733,2"
Administración Pública: Total (miles de euros),2010.0,"2.930.562,4"
Administración Pública: Total (miles de euros),2011.0,"2.762.384,8"
Administración Pública: Total (miles de euros),2012.0,"2.556.646,4"
Administración Pública: Total (miles de euros),2013.0,"2.436.443,9"
Administración Pública: Total (miles de euros),2014.0,"2.408.694,7"
Administración Pública: Total (miles de euros),2015.0,2.520.417
Administración Pública: Total (miles de euros),2016.0,"2.452.775,2"
Administración Pública: Total (miles de euros),2017.0,"2.495.023,4"
Administración Pública: Total (miles de euros),2018.0,"2.515.228,4"
Administración Pública: Total (miles de euros),2019.0,"2.648.295,6"
Administración Pública: Total (miles de euros),2020.0,"2.752.925,4"
Administración Pública: Total (miles de euros),2021.0,"2.910.025,2"
Administración Pública: %,2000.0,"15,8"
Administración Pública: %,2001.0,"15,9"
Administración Pública: %,2002.0,"15,4"
Administración Pública: %,2003.0,"15,4"
Administración Pública: %,2004.0,16
Administración Pública: %,2005.0,17
Administración Pública: %,2006.0,"16,7"
Administración Pública: %,2007.0,"17,6"
Administración Pública: %,2008.0,"18,2"
Administración Pública: %,2009.0,"20,1"
Administración Pública: %,2010.0,"20,1"
Administración Pública: %,2011.0,"19,5"
Administración Pública: %,2012.0,"19,1"
Administración Pública: %,2013.0,"18,7"
Administración Pública: %,2014.0,"18,8"
Administración Pública: %,2015.0,"19,1"
Administración Pública: %,2016.0,"18,5"
Administración Pública: %,2017.0,"17,7"
Administración Pública: %,2018.0,"16,8"
Administración Pública: %,2019.0,17
Administración Pública: %,2020.0,"17,5"
Administración Pública: %,2021.0,"16,9"
Enseñanza Superior: Total (miles de euros),2000.0,"1.693.881,6"
Enseñanza Superior: Total (miles de euros),2001.0,1.925.357
Enseñanza Superior: Total (miles de euros),2002.0,2.141.949
Enseñanza Superior: Total (miles de euros),2003.0,"2.491.958,8"
Enseñanza Superior: Total (miles de euros),2004.0,"2.641.653,2"
Enseñanza Superior: Total (miles de euros),2005.0,"2.959.927,7"
Enseñanza Superior: Total (miles de euros),2006.0,"3.265.738,5"
Enseñanza Superior: Total (miles de euros),2007.0,"3.518.594,7"
Enseñanza Superior: Total (miles de euros),2008.0,"3.932.413,1"
Enseñanza Superior: Total (miles de euros),2009.0,"4.058.359,1"
Enseñanza Superior: Total (miles de euros),2010.0,"4.123.150,4"
Enseñanza Superior: Total (miles de euros),2011.0,"4.002.023,6"
Enseñanza Superior: Total (miles de euros),2012.0,"3.715.573,4"
Enseñanza Superior: Total (miles de euros),2013.0,"3.647.407,2"
Enseñanza Superior: Total (miles de euros),2014.0,"3.606.170,6"
Enseñanza Superior: Total (miles de euros),2015.0,"3.703.883,9"
Enseñanza Superior: Total (miles de euros),2016.0,"3.648.812,1"
Enseñanza Superior: Total (miles de euros),2017.0,"3.808.958,3"
