Años	Sectores/unidad	Total
2024	Total (miles de euros)	23.930.881
2024	Administración Pública: Total (miles de euros)	10.236.725
2024	Administración Pública: %	42,8
2024	Empresas: Total (miles de euros)	11.421.103
2024	Empresas: %	47,7
2024	IPSFL: Total (miles de euros)	161.678
2024	IPSFL: %	0,7
2024	Resto del Mundo: Total (miles de euros)	2.111.374
2024	Resto del Mundo: %	8,8
2023	Total (miles de euros)	22.379.154
2023	Administración Pública: Total (miles de euros)	9.475.940
2023	Administración Pública: %	42,3
2023	Empresas: Total (miles de euros)	10.738.158
2023	Empresas: %	48
2023	IPSFL: Total (miles de euros)	145.983
2023	IPSFL: %	0,7
2023	Resto del Mundo: Total (miles de euros)	2.019.073
2023	Resto del Mundo: %	9
2022	Total (miles de euros)	19.324.755
2022	Administración Pública: Total (miles de euros)	8.005.609
2022	Administración Pública: %	41,4
2022	Empresas: Total (miles de euros)	9.535.429
2022	Empresas: %	49,3
2022	IPSFL: Total (miles de euros)	147.077
2022	IPSFL: %	0,8
2022	Resto del Mundo: Total (miles de euros)	1.636.640
2022	Resto del Mundo: %	8,5
2021	Total (miles de euros)	17.249.250
2021	Administración Pública: Total (miles de euros)	7.147.927
2021	Administración Pública: %	41,4
2021	Empresas: Total (miles de euros)	8.666.064
2021	Empresas: %	50,2
2021	IPSFL: Total (miles de euros)	149.604
2021	IPSFL: %	0,9
2021	Resto del Mundo: Total (miles de euros)	1.285.655
2021	Resto del Mundo: %	7,5
