Años	Sectores/unidad	Total
2024	Total (miles de euros)	23.930.880,9
2024	Administración Pública: Total (miles de euros)	4.564.778,7
2024	Administración Pública: %	19,1
2024	Enseñanza Superior: Total (miles de euros)	5.961.559,3
2024	Enseñanza superior: %	24,9
2024	Empresas: Total (miles de euros)	13.342.419
2024	Empresas: %	55,8
2024	IPSFL: Total (miles de euros)	62.124
2024	IPSFL: %	0,3
2023	Total (miles de euros)	22.379.154
2023	Administración Pública: Total (miles de euros)	3.992.242,9
2023	Administración Pública: %	17,8
2023	Enseñanza Superior: Total (miles de euros)	5.708.661,4
2023	Enseñanza superior: %	25,5
2023	Empresas: Total (miles de euros)	12.615.738,7
2023	Empresas: %	56,4
2023	IPSFL: Total (miles de euros)	62.511,1
2023	IPSFL: %	0,3
2022	Total (miles de euros)	19.324.754,8
2022	Administración Pública: Total (miles de euros)	3.329.693,8
2022	Administración Pública: %	17,2
2022	Enseñanza Superior: Total (miles de euros)	5.026.022,3
2022	Enseñanza superior: %	26
2022	Empresas: Total (miles de euros)	10.901.727,7
2022	Empresas: %	56,4
2022	IPSFL: Total (miles de euros)	67.310,9
2022	IPSFL: %	0,3
2021	Total (miles de euros)	17.249.249,5
2021	Administración Pública: Total (miles de euros)	2.910.025,2
2021	Administración Pública: %	16,9
2021	Enseñanza Superior: Total (miles de euros)	4.586.993,4
2021	Enseñanza superior: %	26,6
2021	Empresas: Total (miles de euros)	9.696.150,2
2021	Empresas: %	56,2
2021	IPSFL: Total (miles de euros)	56.080,8
2021	IPSFL: %	0,3
