Origen de los fondos/unidad	Años	Total
Total (miles de euros)	1981	437.615
Total (miles de euros)	1982	576.984
Total (miles de euros)	1983	647.074
Total (miles de euros)	1984	758.471
Total (miles de euros)	1985	933.618
Total (miles de euros)	1986	1.188.057
Total (miles de euros)	1987	1.385.387
Total (miles de euros)	1988	1.729.046
Total (miles de euros)	1989	2.039.378
Total (miles de euros)	1990	2.559.284
Total (miles de euros)	1991	2.881.084
Total (miles de euros)	1992	3.244.979
Total (miles de euros)	1993	3.350.060
Total (miles de euros)	1994	3.294.472
Total (miles de euros)	1995	3.550.106
Total (miles de euros)	1996	3.852.632
Total (miles de euros)	1997	4.038.904
Total (miles de euros)	1998	4.715.018
Total (miles de euros)	1999	4.995.360
Total (miles de euros)	2000	5.718.988
Total (miles de euros)	2001	6.227.157
Total (miles de euros)	2001(*)	6.496.011
Total (miles de euros)	2002	7.193.538
Total (miles de euros)	2003	8.213.036
Total (miles de euros)	2004	8.945.761
Total (miles de euros)	2005	10.196.871
Total (miles de euros)	2006	11.815.218
Total (miles de euros)	2007	13.342.371
Total (miles de euros)	2008	14.701.393
Total (miles de euros)	2009	14.581.676
Total (miles de euros)	2010	14.588.455
Total (miles de euros)	2011	14.184.295
Total (miles de euros)	2012	13.391.607
Total (miles de euros)	2013	13.011.798
Total (miles de euros)	2014	12.820.756
Total (miles de euros)	2015	13.171.807
Total (miles de euros)	2016	13.259.769
Total (miles de euros)	2017	14.063.444
Total (miles de euros)	2018	14.945.692
Total (miles de euros)	2019	15.572.052
Total (miles de euros)	2020	15.768.133
Total (miles de euros)	2021	17.249.249
Administración Pública: Total (miles de euros)	1981	245.117
Administración Pública: Total (miles de euros)	1982	304.539
Administración Pública: Total (miles de euros)	1983	341.778
Administración Pública: Total (miles de euros)	1984	381.859
Administración Pública: Total (miles de euros)	1985	445.681
Administración Pública: Total (miles de euros)	1986	572.482
Administración Pública: Total (miles de euros)	1987	701.321
Administración Pública: Total (miles de euros)	1988	844.085
Administración Pública: Total (miles de euros)	1989	952.003
Administración Pública: Total (miles de euros)	1990	1.152.471
Administración Pública: Total (miles de euros)	1991	1.317.046
Administración Pública: Total (miles de euros)	1992	1.628.809
Administración Pública: Total (miles de euros)	1993	1.728.144
Administración Pública: Total (miles de euros)	1994	1.725.656
Administración Pública: Total (miles de euros)	1995	1.703.767
Administración Pública: Total (miles de euros)	1996	1.848.497
Administración Pública: Total (miles de euros)	1997	1.931.713
Administración Pública: Total (miles de euros)	1998	2.015.121
Administración Pública: Total (miles de euros)	1999	2.234.719
Administración Pública: Total (miles de euros)	2000	2.479.598
Administración Pública: Total (miles de euros)	2001	2.759.591
Administración Pública: Total (miles de euros)	2001(*)	2.796.596
Administración Pública: Total (miles de euros)	2002	3.137.798
Administración Pública: Total (miles de euros)	2003	3.733.556
Administración Pública: Total (miles de euros)	2004	4.038.656
Administración Pública: Total (miles de euros)	2005	4.803.811
Administración Pública: Total (miles de euros)	2006	5.486.123
Administración Pública: Total (miles de euros)	2007	6.269.142
Administración Pública: Total (miles de euros)	2008	7.173.324
Administración Pública: Total (miles de euros)	2009	7.371.889
Administración Pública: Total (miles de euros)	2010	7.380.266
Administración Pública: Total (miles de euros)	2011	6.873.285
Administración Pública: Total (miles de euros)	2012	6.303.265
Administración Pública: Total (miles de euros)	2013	5.946.854
Administración Pública: Total (miles de euros)	2014	5.834.286
Administración Pública: Total (miles de euros)	2015	5.959.251
Administración Pública: Total (miles de euros)	2016	5.875.789
Administración Pública: Total (miles de euros)	2017	6.078.617
Administración Pública: Total (miles de euros)	2018	6.270.738
Administración Pública: Total (miles de euros)	2019	6.552.061
Administración Pública: Total (miles de euros)	2020	6.678.586
Administración Pública: Total (miles de euros)	2021	7.146.839
Administración Pública: %	1981	56
Administración Pública: %	1982	52,8
Administración Pública: %	1983	52,8
Administración Pública: %	1984	50,4
Administración Pública: %	1985	47,7
Administración Pública: %	1986	48,2
Administración Pública: %	1987	50,6
Administración Pública: %	1988	48,8
Administración Pública: %	1989	46,7
Administración Pública: %	1990	45
Administración Pública: %	1991	45,7
Administración Pública: %	1992	50,2
Administración Pública: %	1993	51,6
Administración Pública: %	1994	52,4
Administración Pública: %	1995	48
Administración Pública: %	1996	48
Administración Pública: %	1997	47,8
Administración Pública: %	1998	42,7
Administración Pública: %	1999	44,7
Administración Pública: %	2000	43,4
Administración Pública: %	2001	44,3
Administración Pública: %	2001(*)	43,1
Administración Pública: %	2002	43,6
Administración Pública: %	2003	45,5
Administración Pública: %	2004	45,1
Administración Pública: %	2005	47,1
Administración Pública: %	2006	46,4
Administración Pública: %	2007	47
Administración Pública: %	2008	48,8
Administración Pública: %	2009	50,6
Administración Pública: %	2010	50,6
Administración Pública: %	2011	48,5
Administración Pública: %	2012	47,1
Administración Pública: %	2013	45,7
Administración Pública: %	2014	45,5
Administración Pública: %	2015	45,2
Administración Pública: %	2016	44,3
Administración Pública: %	2017	43,2
Administración Pública: %	2018	42
Administración Pública: %	2019	42,1
Administración Pública: %	2020	42,4
Administración Pública: %	2021	41,4
Empresas: Total (miles de euros)	1981	187.263
Empresas: Total (miles de euros)	1982	264.505
Empresas: Total (miles de euros)	1983	297.363
Empresas: Total (miles de euros)	1984	370.855
Empresas: Total (miles de euros)	1985	440.878
Empresas: Total (miles de euros)	1986	585.199
Empresas: Total (miles de euros)	1987	648.895
Empresas: Total (miles de euros)	1988	821.674
Empresas: Total (miles de euros)	1989	974.150
Empresas: Total (miles de euros)	1990	1.213.311
Empresas: Total (miles de euros)	1991	1.386.054
Empresas: Total (miles de euros)	1992	1.417.733
Empresas: Total (miles de euros)	1993	1.374.491
Empresas: Total (miles de euros)	1994	1.327.035
Empresas: Total (miles de euros)	1995	1.580.818
Empresas: Total (miles de euros)	1996	1.751.890
Empresas: Total (miles de euros)	1997	1.805.663
Empresas: Total (miles de euros)	1998	2.348.268
Empresas: Total (miles de euros)	1999	2.440.494
Empresas: Total (miles de euros)	2000	2.843.887
Empresas: Total (miles de euros)	2001	2.937.738
Empresas: Total (miles de euros)	2001(*)	3.161.227
